company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,supplier_url,exhibitor_url,Brand Name,Certificates,Other Certificates,Verified Certificates,Booth: 1A-B02   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-C02   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Company Website,Booth: 1A-B22   |   Smart Lighting Products & Solutions   |   Smart Ecosystem and IoT Supply Chain Area,Booth: 1B-B12   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1A-E08   |   Connected Lighting Technologies   |   ,Booth: 1B-E08   |   Smart Lighting Products & Solutions   |   Zhongshan,Booth: 1B-D23   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-A05   |   Connected Lighting Technologies   |   Cantonese Business Go Global,Booth: 1B-A15   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-C31   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global,Booth: 1B-F40   |   Smart Lighting Products & Solutions   |   ,Booth: 1B-B18   |   Smart Lighting Products & Solutions   |   Shenzhen-SZSA Smart Lighting Pavilion,Booth: 1B-C22   |   Smart Lighting Products & Solutions   |   Cantonese Business Go Global
"Zhongshan Ruishang Lighting Co., Ltd.",Chinese Mainland,,"Manufacturer, Wholesaler","Decorative Lamp,Sensor Light,Lighting Accessories & Lamp Parts,Indoor Lighting,Entertainment Lighting,Industrial Lighting,Retail Lighting,Home Automation System,Lighting Design & Engineering,Building Exterior Lighting System","We focus on the production and development of various LED strip light, linear lighting, power supplies, and LED strip accessories. Pursuing innovation and maintaining high-quality products and high-level services are our consistent purpose.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Ruishang-Lighting-Co-Ltd-/1S00P02L7,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KUUO,,,,,,,,,,,,,,,,,,
"Zhongshan Ufan Electric Appliance Co., Ltd.",Chinese Mainland,,"Chain Store, Buying Office",Indoor Lighting,"LED line light series is a high-end flexible decorative light, which is characterized by low power consumption, long life, high brightness, easy to bend, maintenance-free, etc.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2021 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Ufan-Electric-Appliance-Co-Ltd/1S00NZUKI,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K389,,,,,,,,,,,,,,,,,,
"Zhongshan Uni Tech Lighting Co., Ltd.",Chinese Mainland,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Uni-Tech-Lighting-Co-Ltd/1X0AQY8Y,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K3OX,,,,,,,,,,,,,,,,,,
"Zhongshan Yadi Lighting Co., Ltd.",Chinese Mainland,"The YADI Story ZHONGSHAN YADI Lighting, Born in 2005! Back then we were a small factory, produced single simple product- downlight. Today , we are privileged to connect with more than 2000 customers in 40 countries with millions of exceptional products including indoor pendant light ,ceiling light ,chandelier ,table light , floor light and outdoor lights. And create a one-stop lighting shopping platform for you.",Manufacturer,"Decorative Lamp,Indoor Lighting","we are privileged products including indoor pendant light ,ceiling light ,chandelier ,table light , floor light and outdoor lights. And create a one-stop lighting shopping platform for you.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair 2022 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2022 (Spring Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Yadi-Lighting-Co-Ltd-/1X00KSSW,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JIOI,YADI,,ETL Issued By - Type - Valid Date (N/A) - (N/A) SAA Issued By JAS-ZNN Type - Valid Date (N/A) - 13 Oct 2022 Show More,,,,,,,,,,,,,,,
"Zhongshan Yi Qin Electronic Technology Co., Ltd.",Chinese Mainland,,"Wholesaler, Manufacturer",Residential Lighting,"The Company was found in 2006, located in Henglan, Zhongshan City , It is very close to Guzhen lighting capital. We specialized in Indoor Lighting , Such As Table Lamps , Floor Lamps , Wall Lamps, Pendant Lamps and so on . We are selling very well",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Yi-Qin-Electronic-Technology-Co-Ltd-/1X0AD14T,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JIF9,,,,,,,www.zs-taiyi.com,,,,,,,,,,,
Zhongshan Zedong Lighting Co Ltd,Chinese Mainland,"Zhongshan Zedong Lighting , for the LED home Indoor Smart Intelligent ceiling lights pendant light LED wall lights","Chain Store, Mail Order Co., Export Agent, Importer","Indoor Lighting,Industrial Lighting,Solar Lights,Home Automation System","Zhongshan Zedong Lighting , for the LED home Indoor Smart Intelligent ceiling iights pendant light LED wall lights","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Zedong-Lighting-Co-Ltd/1S00NTD72,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JRXI,"Zedong ,Zedong ,Zedong",,ISO9001 Issued By ACM Limited Type - Valid Date (N/A) - 23 Sep 2022 ISO14001 Issued By ACM Limited Type - Valid Date (N/A) - 22 Dec 2022 Show More,,,,,,,,,,,,,,,
"Zhuhai Hemlighting Co., Ltd.",Chinese Mainland,"Zhuhai Hemlighting Co., Ltd. was founded in 2002 with a registered capital of 30 million yuan and located in Zhuhai, we has a self-built office and manufacturing plant more than 36,000 square meters and existing staff of nearly 300. Hem lighting is one of the first leading companies engaged in LED lighting in China, has now developed into an industry benchmark enterprise that provides integrated services of lighting planning and design, product development and manufacturing, and engineering construction and installation . Our main products include: LED landscape lighting series, LED street lighting series, customized lighting series, 5G smart lighting series, intelligent control system, etc. In terms of technology research and development, we have a highly efficient team, we insist on our own brand strategy and intellectual property strategy, we encourage invention and creation. In terms of product quality, we strictly implement the 7S management standards, and has successively passed domestic and foreign certifications include energy-saving, CCC, CE, EMC, UL, FCC, CQC and ISO9001 international quality management system.. Hemlighting has become one of the leading manufacturer with excellent product quality and innovative technology in the lighting industry.",Manufacturer,"Lighting Design & Engineering, Building Exterior Lighting System, Industrial Lighting, Solar Lights, Street Light, Smart Architectural Lighting",LED Street Light;LED Flood Light; LED Underground Light;LED Solar Light; LED High Bay Light; LED Landscape Light;,"OBM, OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Smart Lighting Expo 2025 Eco Expo Asia - International Trade Fair on Environmental Protection 2019 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2015 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2014 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2014 Inno Design Tech Expo 2010,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhuhai-Hemlighting-Co-Ltd/1X08RDU3,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JS22,HEM,,,,,,www.hemlighting.com,,,,,,,,,,,
"Hongkong E-Lover Technology Co., Limited",Hong Kong,"HONG KONG E-LOVER TECHNOLOGY CO.,LIMITED is a Hi-Tech Enterprise specialized in LED lighting products, a professional LED lighting manufacturer & supplier. Our products mainly include LED Street Lights, Solar Street Lights, LED High Bay, LED Flood Light, and other full-set lighting solutions for projects.","Exporter, Manufacturer",LED Bulb,LED DOWNLIGHTS; LED FLOOD LIGHTS;LED LIGHTING,OBM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongkong-E-Lover-Technology-Co-Limited/1S00OSSME,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IP32,E-LOVER,,,,,,,,,,,,,,,,,
"Kinlight Technology (China) Co., Limited",Hong Kong,,"Manufacturer, Exporter, Distributor","Decorative Lamp,Sensor Light,PAR Bulb,Light Dimmer,Light Switch,Indoor Lighting,Hospital Lighting,Industrial Lighting,Lighting Distribution System",strip light downlight,"ODM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kinlight-Technology-China-Co-Limited/1S00OXL29,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005J8J7,Kinlight,,,,,,,,,,,,,,,,,
Novel Intelligence HK Limited,Hong Kong,,"Manufacturer, Wholesaler","Home Automation System,LED Display Board","LED TV, Smart Home lighting",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Novel-Intelligence-HK-Ltd/1X09ZA15,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JFRC,,,,,,,,,,,,,,,,,,
"BaoRun Lighting Group Co., Ltd.",Chinese Mainland,"Baorun Lighting Group Co., Ltd. is one of the most professional & large-scale solar street light manufacturers & suppliers in China, which has been committed to the production, R & D and sales of outdoor LED street lights over 15 years, including various kinds of street light poles, solar panels, traffic lights, LED street lights, high mast lights, solar street lights, solar pump systems and distributed roof or ground mounting off-grid or grid-connected solar power systems, solar batteries, controllers & inverters, etc. In recent years, we have passed ISO9001,CE,ROHS,TUV,IEC,CCC and other international certifications. In addition to a large share of the domestic market, our products have been exported to more than 160 countries or regions such as Southeast Asia, Middle East, Eastern Europe, Africa, Latin America, etc.","Exporter, Manufacturer","Street Light,Solar Lights,Building Exterior Lighting System","Solar Street Lights, LED street lights, Traffic Lights, High Mast lights, Street Light Poles and Smart Street Lights","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Outdoor and Tech Light Expo 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/BAORUN-LIGHTING-GROUP-CO-LTD-/1S00OR1A5,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IP4Z,BAORUN,,,,,,,,,,,,,,,,,
"Dongguan Wei Sheng Optronics Co., Ltd.",Chinese Mainland,"Our company specializes in the production of LED light strips, and has independent design and development capabilities. The products are novel and cost-effective, which has won praise from customers",Manufacturer,LED Bulb,"LED strip light, LED controller, Power supply",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Wei-Sheng-Optronics-Co-Ltd/1S00O9W11,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JKG4,WEISHENGLED,,,,,,,,,,,,,,,,,
"Flower (HangZhou) Illumination Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Decorative Lamp,Lighting Accessories & Lamp Parts,Architectural Lighting,Entertainment Lighting,Lighting Design & Engineering,Lighting Design Software,Building Exterior Lighting System","LED LIGHTS, SMART LIGHTS",Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 Hong Kong International Outdoor and Tech Light Expo 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/FALAWO-HangZhou-Illumination-Co-Ltd-/1X0AXJE1,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IPE5,,,,,,,,,,,,,,,,,,
"Foshan Wisdom Light Co., Ltd.",Chinese Mainland,Wisdom light focus on LED linear light .,Manufacturer,"Architectural Lighting,Indoor Lighting","Archi led linear light , led high bay light , clean room troffer","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/FOSHAN-WISDOM-LIGHT-CO-LTD-/1S00O8TMD,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005IPD8,,,,,,,,,,,,,,,,,,
"Guangdong Guangyang Electric Co., Ltd.",Chinese Mainland,"Guangdong Guangyang is a high-tech enterprise specializing in the research and development, production and sales of eye-care movable lamps and LED smart lamps for 22 years. The factory has a construction area of approximately 45,000 square meters. We total have about 500 employees so far and our annual production capacity can over 10 million units/sets.The company has advanced production equipment, testing instruments and a group of professional engineers and technicians, independent research and development capabilities and technical centers, and has carried out industry-university-research cooperation with many top universities and scientific research institutions. Guangyang participated in the formulation of several eye-care desk lamps related industry standards.GUANYA is our own brand, and its product line has convered such as eye-care lamps, educational lighting,smart light and non-visual lighting.We are committed to becoming the new benchmark for healthy lighting. Our product sales network covers major and medium-sized cities in China and exported to more than 50 countries and regions overseas.","Manufacturer, Retailer",Indoor Lighting,"We major focus on eye-caring desk lamps, floor lamp, clip lamp, educational lighting, and home-love series such as anti-mosquito lamp, germicidal lamp and so on. In addition to sell our own brand GUANYA, we also accept ODM and OEM customization.","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Guangyang-Electric-Co-Ltd/1X00K5ZM,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KAYW,GUANYA,,,,,,,,,,,,,,,,,
"Guangdong IHome Lighting Technology Co.,Ltd",Chinese Mainland,"Founded in 2012,Our enterprise supplies worldwide premium quality linear LED lighting solution based on flexible or rigid printed circuit boards, super excellent LED package binning technology. our offer is a super cost effective, unique LED installation kits for interior or exterior linear lighting solutions with an ingress protection of up to IP68.in the past several years, our enterprise also have been building long-time business cooperation with worldwide big online or offline retailers and big professional importer or big local lighting brand. AIHOME is the professional LED Strip Light manufacturer in China 300 employees 46,000 square meter workshop 300,000 Meter Daily production capacity 35,000,000USD volume of business per year 13 Years experience focus on LED flexible strip light. SGS ISO quality control system.BIS,CB,GS,TUV,ETL,UL,CE,CCC, ROHS. All of these certificate help us enter our main market such as Asia, Europe , North/south America; AIHOME will pay more attention to focus on the pro","Exporter, Manufacturer","Indoor Lighting,Industrial Lighting,Lighting Design & Engineering","Our main products is: LED Strip Light , LED Neon Light LED Rope Light LED Profile Light LED Linear Light LED Smart Light",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-IHome-Lighting-Technology-Co-Ltd/1S00OTMS2,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JRZC,AIHOME,,,,,,,,,,,,,,,,,
"Guangdong Ruidisong Technology Co., Ltd.",Chinese Mainland,"Guangdong Ruidisong Technology Co., Ltd. is a professional smart PVC string lighting manufacturer. Its facilities cover 10,000 square meters, including workshop for PCB, LED lamp beads, photovoltaic panels, wire drawing, sting light, welding packaging,etc. Hence, each step of manufacturing is to be well completed under out strict QA & QC systems, also enable us deliver samples and production within well controlled lead time.","Exporter, Buying Office, Chain Store, Export Agent, Retailer, Shopping Mall, Distributor, Buying Cooperative, Department Store","Decorative Lamp,Lighting Accessories & Lamp Parts,Indoor Lighting,Entertainment Lighting,Retail Lighting","Our product category includes mostly two lines, three lines, four lines, single color, double color, RGBW, dream color PVC string light. Products have passed CCC, CE, ROHS, EMC, FCC, UL, GS test and obtained certain certificates.",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Ruidisong-Technology-Co-Ltd-/1S00OJNPA,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JIKU,Ruidisong,,,,,,,,,,,,,,,,,
Homelan (Huizhou) Electrical Co Ltd,Chinese Mainland,"homelan electrical Co.. Ltd was established on February 10, 2010 The founder of the original company registered in 1994 , so far 30 years . Before and after the factory in Huizhou, Xingning,Chongqing, Southeast Asia planned to build factories, the total purchase area of nearly 200,000 m, the existing number of employees of about 2,000 people. homelan is a national high-tech enterprise integrating product research and development, production and sales in the fields of household wall switch socket, intelligent electronics, smart home, new energy charging pile and so on. homelan Business philosophy Lower Tier/uaranteed quality/Low price","Buying Cooperative, Export Agent, Exporter, Buying Office, Manufacturer","Lighting Accessories & Lamp Parts,Light Switch,Home Automation System","Basic : Economical and practical, ideal for ordinary households. Premium : Luxurious design, suitable for high-end residences and commercial spaces. Smart : Supports voice control and remote operation, compatible with mainstream smart home platform","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Homelan-Huizhou-Electrical-Co-Ltd/1S00OZOIU,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K7V8,,,,,,,,,,,,,,,,,,
"Huizhou King Star Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Decorative Lamp, Industrial Lighting, Building Exterior Lighting System, Street Light, Smart Architectural Lighting, Exterior Lighting Solutions & System","LED Light, LED Floor Light, Mini Display Screen","ODM, OEM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Smart Lighting Expo 2025 HKTDC Smart Lighting Expo 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HUIZHOU-KING-STAR-TECHNOLOGY-CO-LTD-/1S00OYGEE,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JG3B,,,,,,,,,,,,,,,,,,
"Huizhou Modian Electronic Technology Co., Ltd.",Chinese Mainland,,Manufacturer,,linting,"ODM, OBM, OEM, Others",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Modian-Electronic-Technology-Co-Ltd-/1S00P2RO9,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JYN5,,,,,,,,,,,,,,,,,,
"Jiangmen Inbright Lighting Co., Ltd.",Chinese Mainland,,Exporter,LED Bulb,led,OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Inbright-Lighting-Co-Ltd-/1S00OJBMV,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JKIY,,,,,,,,,,,,,,,,,,
"Jiangmen Mingcheng Lighting Co.,Ltd",Chinese Mainland,"Company background Mingcheng lighting company dedicate to manufacture of Smart Low Voltage flowing light strip and single-color light strip,Our company have importde chip mounter,Silicone Extruder,sepcialized worker,high-qualityof production,customer first and intergity of transaction","Wholesaler, Manufacturer","Decorative Lamp,Lighting Accessories & Lamp Parts,Home Automation System,Lighting Design & Engineering","Company goods,MingChenglighting company not only dedicate to manufacture of kinds of smart production is used for indoor and outdoor,but also product diverse LED controller to controllightstrip tp control light strip to realize diverse model",OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangmen-Mingcheng-lighting-Co-ltd/1S00OK587,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005KUFX,"名成,流光炫彩,幻彩之星",,,,,,,,,,,,,,,,,
"Ningbo Lomlux Lighting Co., Ltd.",Chinese Mainland,,Manufacturer,"Street Light,Solar Lights",Lomlux,Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Lomlux-Lighting-Co-Ltd/1S00OH8CS,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JKLP,,,,,,,,,,,,,,,,,,
"Shenzhen Goldsuno Optoelectronics Technology Co., Ltd",Chinese Mainland,,Manufacturer,"LED Bulb,Indoor Lighting,Home Automation System,Lighting Design Software",LED Lighting Product Technology Development and Sales,OEM,,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Goldsuno-Optoelectronics-Technology-Co-Ltd/1S00P2S3Z,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JKEA,,,,,,,,,,,,,,,,,,
"Yuyao Sineyi Electronic Technology Co., Ltd",Chinese Mainland,,"Exporter, Manufacturer",,led,"ODM, OBM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) electronicAsia 2025 HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) Hong Kong International Outdoor and Tech Light Expo 2018,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yuyao-Sineyi-Electronic-Technology-Co-Ltd-/1X06U73C,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005K3HI,,,,,,,,,,,,,,,,,,
"Zhongshan Aixuan Lighting & Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Architectural Lighting,Indoor Lighting,Building Exterior Lighting System","Professional LED street lamp head, LED outdoor bright outsideproject, high power LED street lamp project, LED street lamp","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Outdoor and Tech Light Expo 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2024 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2019 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2018 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2015 HKTDC Hong Kong International Lighting Fair (Spring Edition) 2014,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-Aixuan-Lighting-Technology-Co-Ltd/1X08GHWP,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005L08C,,,,,,,,,,,,,,,,,,
"Zhongshan City Meisen Lighting Co., Ltd",Chinese Mainland,,"Wholesaler, Exporter","Residential Lighting, LED Bulb, Decorative Lamp","LED Ceiling Lamp, LED Pendant Lamp, LED Wall Lamp, LED Downlight, Table Lamp","OEM, ODM, OBM",,Exhibited in HKTDC Event(s) in recent years HKTDC Smart Lighting Expo 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Smart Lighting Expo 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Smart Lighting Expo 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2023 (Spring Edition) HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhongshan-City-Meisen-Lighting-Co-Ltd/1X08724Q,https://www.hktdc.com/event/smartlightingexpo/en/exhibitor/1S005JRWL,MODA LUMA,,,,,,www.meisenled.com,,,,,,,,,,,
