company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
BM Time Design Limited,Hong Kong,Manufacturer,,Analog watch,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/BM-TIME-DESIGN-LIMITED/1S00OC7PQ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJLQ?fairCode=hkwatchfair&locale=en,
Bridgestone Watch Limited,Hong Kong,Manufacturer,"Mens Watch, Quartz Analogue Watch, Designer Watch, Ladies Watch, Chronograph Watch, Mens Watch, Quartz Analogue Watch, Designer Watch, Ladies Watch, Chronograph Watch, Mens Watch, Quartz Analogue Watch, Designer Watch, Ladies Watch, Chronograph Watch, Mens Watch, Quartz Analogue Watch, Designer Watch, Ladies Watch, Chronograph Watch",We are OEM & ODM manufacturer for all kind of analog watches making including quartz or mechanic movements. Our in-house design team with 3D rendering services to fulfill customers need.,"OEM, ODM",,bridgestonewatch.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand HKTDC Hong Kong Watch & Clock Fair 2023 ""Think Business, Think Hong Kong"" Product Expo in Bangkok, Thailand Hong Kong Watch and Clock Mission to UAE (Dubai) Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bridgestone-Watch-Limited/1X08P7YH?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIOI?fairCode=hkwatchfair&locale=en,
Como Milano International Ltd.,Hong Kong,Manufacturer,"Ladies Watch, Quartz Analogue Watch, Brandname Watch, Kids Watch, Smart Watch, Mens Watch, Ladies Watch, Quartz Analogue Watch, Brandname Watch, Kids Watch, Smart Watch, Mens Watch","COMO MILANO International Ltd. is an international watch and jewellery company offering contemporary, fashion-driven collections. The COMO MILANO brand combines Italian-inspired design with modern trends, focusing on watches, jewellery and fashion ac",Others,,como-milano.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Como-Milano-International-Ltd-/1X0AIDP8?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RRR0?fairCode=hkwatchfair&locale=en,
Creative Choice Limited,Hong Kong,"Export Agent, Manufacturer","Mens Watch, Diver Watch, Quartz Analogue Watch, Ladies Watch, Skeleton Mechanical Watch, Solar Watch, Designer Watch, Mechanical Hands & Digital Watch",Uniqu & Lifestyle,"OEM, ODM",TACS,www.creativechoice.ltd,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Shopping Festival HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Creative-Choice-Ltd/1X00IXNM?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCZR?fairCode=hkwatchfair&locale=en,
Grand Lion Industries Limited,Hong Kong,"Manufacturer, Wholesaler, Distributor","Quartz Analogue Watch, Brandname Watch, Ladies Watch, Mens Watch","Our Hennex Watches are simply elegant, high quality and distinctive. We offer them at an affordable price and they can be customized to your own choice.","OBM, OEM",Hennex,www.hennex.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Grand-Lion-Ind-Ltd/1X001ARF?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXLC?fairCode=hkwatchfair&locale=en,
"HK Dualtime International Co., Limited",Hong Kong,Manufacturer,"Digital Watch, 24 Hour Dial Mechanical Watch, Solar Watch, Diver Watch, Promotional Watch, Digital Watch, Ladies Watch, Diver Watch, Sports Timer Watch, Radio Control Watch, Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Pilot Watch, Radio Control Watch, Chronograph Watch, Pilot Watch, Quartz Analogue Watch, Skeleton Mechanical Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Mechanical Hands & Digital Watch, Ladies Watch, Mechanical Hands & Digital Watch, Mens Watch, Mens Watch, Moon Phase Mechanical Watch, Quartz Analogue Watch, Solar Watch, Promotional Watch",high quality steel watch for ODM & OEM,"ODM, Others, OBM, OEM",DK&YT,dualtimeltd.cn/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-Dualtime-Int-l-Co-Ltd/1X06OLIR?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHS7?fairCode=hkwatchfair&locale=en,
"HK Watchbands Corp., Limited",Hong Kong,Exporter,"Silicone Watch Band, Rubber Watch Band, Metal Watch Band, Leather Watch Band, Imitation Leather Watch Band, Fabric Watch Band","Manufacturing and Sourcing of high-quality watchstraps with over 50 years of experience. Genuine Leather Watchstraps, Stainless Steel Watchbands, Plastic, Nylon and Silicone/Rubber Watchstraps.","OBM, OEM, ODM","ALFA , FirenzOro",www.watchbands.com.hk,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2018 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-WATCHBANDS-CORP-LIMITED/1X003WQM?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NHT4?fairCode=hkwatchfair&locale=en,
Hoiking International Corporation Limited,Hong Kong,"Exporter, Manufacturer","Sports Timer Watch, 24 Hour Dial Mechanical Watch, Chronograph Watch, Quartz Analogue Watch, Mens Watch, Diver Watch",S/S. CERAMIC. BRASS AND ALLOY PRODUCTS,"OBM, OEM","LUXMI,RISTIANO",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hoiking-Int-l-Corporation-Ltd/1X07FMPH?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXFU?fairCode=hkwatchfair&locale=en,
Hongkong Honesty Chronometer Int'l Co Limited,Hong Kong,"Service Company, Import Agent, Trade/Industrial Organisation, Shopping Mall, Buying Office, Distributor, Professional Association, Retailer, Export Agent, Buying Cooperative, Wholesaler, Chain Store","Pendant Watch, Quartz Analogue Watch, Digital Watch, Sports Timer Watch, Solar Watch, Radio Control Watch, Mens Watch, Diver Watch, Kids Watch, Skeleton Mechanical Watch, Mechanical Hands & Digital Watch, Pilot Watch, 24 Hour Dial Mechanical Watch, Ladies Watch, Chronograph Watch, Jewelled-lever Automatic Watch, Moon Phase Mechanical Watch, Brandname Watch, Promotional Watch, Designer Watch","All kind of complete watches, classic, sporty, fashion, unique, diver watches for mean and woman, special good at high quality Swiss watch components","OEM, ODM","Happywatch,Fenroad,Engerberg",www.fenroanwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongkong-Honesty-Chronometer-Int-l-Co-Limited/1X09QNEP?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NHU1?fairCode=hkwatchfair&locale=en,
National Electronics and Watch Company Limited,Hong Kong,"Manufacturer, Exporter","Kids Watch, Digital Watch, Sports Timer Watch, Ladies Watch, Mens Watch, Solar Watch, Quartz Analogue Watch, Diver Watch, Brandname Watch, Chronograph Watch","Pedometer wristWatches, Surf wristwatch, Altimeter wristwatch & Solar wristwatch",OBM,NEWCO,www.national.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,,,ISO9001:2000 Issued By - Type - Valid Date (N/A) - (N/A) TUV Rheinland Issued By - Type - Valid Date (N/A) - (N/A) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/National-Electronics-Watch-Co-Ltd/1X000963?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005O08C?fairCode=hkwatchfair&locale=en,
"Owago, Limited",Hong Kong,Manufacturer,"Skeleton Mechanical Watch, Pendant Watch, Quartz Analogue Watch, Solar Watch, Chronograph Watch, Diver Watch, Mens Watch, Mechanical Hands & Digital Watch, Kids Watch, Designer Watch, Ladies Watch",OEM & ODM watches and premium watches,"OEM, ODM",,owago.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 BASELWORLD 2019 - The Watch and Jewellery Show Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Owago-Limited/1X03RJIX?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ9Q?fairCode=hkwatchfair&locale=en,
PBF Limited,Hong Kong,"Wholesaler, Service Company, Exporter","Skeleton Mechanical Watch, Mens Watch, Chronograph Watch, Ladies Watch, 24 Hour Dial Mechanical Watch, Quartz Analogue Watch","OEM & ODM Watch Manufacturer with 4 production lines, 300 new watches designed per quarter, and with a production capacity of 5 million per year.","OEM, ODM",,pbfwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PBF-Limited/1X0A3TXO?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHU1?fairCode=hkwatchfair&locale=en,
Perriland Timepieces Limited,Hong Kong,"Wholesaler, Exporter, Export Agent, Buying Cooperative, Buying Office, Manufacturer","Ladies Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Diver Watch, Chronograph Watch, Mechanical Hands & Digital Watch, Sports Timer Watch, Solar Watch, Jewelled-lever Automatic Watch, 24 Hour Dial Mechanical Watch, Skeleton Mechanical Watch",Watches,OEM,,perriland.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Perriland-Timepieces-Limited/1X0AG5G5?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJS5?fairCode=hkwatchfair&locale=en,
"Phoebus Time (HK) Co., Ltd.",Hong Kong,"Wholesaler, Manufacturer, Exporter","Ladies Watch, Mens Watch, Chronograph Watch, Solar Watch, Quartz Analogue Watch","We manufacture, stainless steel watch/multi-sport watch/mechanical watch, ceramic watch/tungsten steel watch.","OEM, OBM, ODM",elegangs,www.elegangs.net,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Hong Kong Watch Mission to Jakarta, Indonesia HKTDC Hong Kong Watch & Clock Fair 2025 Exploratory Study Mission to the Middle East HKTDC Hong Kong Watch & Clock Fair 2024 Hong Kong Watch Misison to Bangkok, Thailand HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Phoebus-Time-HK-Co-Ltd-/1X08NXLO?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MNG1?fairCode=hkwatchfair&locale=en,
Pioneer Tech Industrial Limited,Hong Kong,Manufacturer,"Watch Hand, Watch Hand","Blue steel watch hands, Diamond cut watch hands, Comment watch hands, Watch components","OEM, ODM",,www.pioneer-t.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 HKTDC Hong Kong Watch & Clock Fair 2015 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pioneer-Tech-Industrial-Limited/1X00IZZ4?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NKAM?fairCode=hkwatchfair&locale=en,
Prosver Dani Watch Industry (HK) Limited,Hong Kong,Manufacturer,"Brandname Watch, Mens Watch, Mens Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Ladies Watch, Ladies Watch, 24 Hour Dial Mechanical Watch","在鐘錶行業多年經驗,可定製女士手錶OEM, 可定製手錶配套項鍊OEM",OEM,"OEM,客户定制logo,Debolon",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,SGS Audited Supplier Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Prosver-Dani-Watch-Industry-HK-Limited/1X082L81?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXGR?fairCode=hkwatchfair&locale=en,
Ri-Tech Rubber Chemical Co Limited,Hong Kong,Manufacturer,"Rubber Watch Band, Silicone Watch Band","Silicone, HNBR, FKM products","OEM, ODM",,ri-techrubber.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ri-Tech-Rubber-Chemical-Co-Ltd/1X03RK75?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0A6?fairCode=hkwatchfair&locale=en,
"Shenzhen Cheng Hui Wu Jin Shi Ye Co., Limited",Hong Kong,Manufacturer,"Ladies Watch, Chronograph Watch, Mens Watch, Brandname Watch, Quartz Analogue Watch, Diver Watch, 24 Hour Dial Mechanical Watch, Solar Watch, Skeleton Mechanical Watch","We have full range watches,alloy watches,brass watches,steel watches,ceramic watches,Titanium watches,24K gold watches.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2018,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Cheng-Hui-Wu-Jin-Shi-Ye-Co-Limited/1X0AGT6F?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIG6?fairCode=hkwatchfair&locale=en,
Solar Time Limited,Hong Kong,"Retailer, Manufacturer","Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Diver Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Solar Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Chronograph Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Diver Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Solar Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Chronograph Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Diver Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Solar Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Chronograph Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Diver Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Solar Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Chronograph Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Skeleton Mechanical Watch, Diver Watch, Brandname Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Solar Watch, Mens Watch, Pilot Watch, Quartz Analogue Watch, Chronograph Watch, Sports Timer Watch","for over 40 years, Solar Time has been designing and crafting timepieces of style, function and flair for customers worldwide. Enjoy the worlds of Spinnaker, AVI-8, and Thomas Earnshaw.","OBM, OEM, Others","AVI-8,SPINNAKER,EARNSHAW",www.spinnakerwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Solar-Time-Ltd/1X00J0S8?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCQI?fairCode=hkwatchfair&locale=en,
Somal Industrial (HK) Limited,Hong Kong,Wholesaler,"Watch Movement, Rubber Watch Band, Watch Buckle, Aftersales Watch Services Equipment and Tool, Watch Hand, Clock Movement, Watch Glass, Watch Battery, Watch Spring Bar, Watch Crown",Watch Movements,OEM,SOMAL,www.somal.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Somal-Industrial-HK-Ltd/1X00GKRL?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ7W?fairCode=hkwatchfair&locale=en,
Stingmars Limited,Hong Kong,Manufacturer,"Chronograph Watch, Quartz Analogue Watch, Pilot Watch, Mens Watch, Solar Watch, Ladies Watch, Diver Watch",Ceramic & Stainless Watches,OEM,,www.stingmars.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2014 HKTDC Hong Kong Watch & Clock Fair 2012 HKTDC Hong Kong Watch & Clock Fair 2011 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Stingmars-Limited/1X00J0X3?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJXQ?fairCode=hkwatchfair&locale=en,
Thea International (HK) Limited,Hong Kong,Manufacturer,"Ladies Watch, Designer Watch, Mens Watch, Brandname Watch",Natural Gemstones Watches,OBM,AS.IS,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/THEA-INTERNATIONAL-HK-LIMITED/1S00P0AK2?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJYN?fairCode=hkwatchfair&locale=en,
Time Deluxe Company Limited,Hong Kong,Manufacturer,"Jewelled-lever Automatic Watch, Brandname Watch, Mens Watch, Ladies Watch, Diver Watch, Skeleton Mechanical Watch, Designer Watch, Chronograph Watch, Moon Phase Mechanical Watch, Quartz Analogue Watch","Quartz Analog watches, Mechanical watches. Diamond watches.","ODM, OEM",,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 CES - International Consumer Electronics Show, Las Vegas, ISA 2018 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2017",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Time-Deluxe-Company-Limited/1X097NIL?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ0H?fairCode=hkwatchfair&locale=en,
Top Hero Enterprise Limited,Hong Kong,Manufacturer,"Sports Timer Watch, Mechanical Hands & Digital Watch, Mens Watch, Ladies Watch, Chronograph Watch, Kids Watch, Brandname Watch","X-connected smart watch, Radio control watch, Self-calibrating watch, Heart Rate monitor watch, Pedometer watch, Micro SD card watch, Quartz analog and digital watch with long life lithium battery.","OEM, ODM",XONIX,www.xonixwatch.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Top-Hero-Enterprise-Limited/1X03862G?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ8T?fairCode=hkwatchfair&locale=en,
W&Y (Asia) Company Limited,Hong Kong,Manufacturer,"Kids Watch, Promotional Watch, Quartz Analogue Watch, Chronograph Watch, Mens Watch, Ladies Watch, Sports Timer Watch, Digital Watch","Water Resistant, Alarm ,Chrono, EL Light, World Time, TPU Strap, Silicon Strap","OEM, ODM",JAGA,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 BASELWORLD 2018 - The World Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/W-Y-ASIA-COMPANY-LIMITED/1X06R1T4?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MXP0?fairCode=hkwatchfair&locale=en,
